vehicle_id,n_readouts,first_time,last_time,observation_duration
0,172,11.2,507.4,496.2
2,33,1.4,281.0,279.6
3,71,0.2,291.2,291.0
4,17,3.8,203.0,199.2
5,44,0.0,357.6,357.6
8,23,1.8,277.6,275.8
13,26,2.2,149.4,147.20000000000002
14,42,1.4,432.8,431.40000000000003
15,56,4.2,286.8,282.6
17,61,2.4,436.4,434.0
22,51,3.2,185.2,182.0
25,45,0.8,316.2,315.4
26,68,9.0,264.6,255.60000000000002
27,94,12.6,353.0,340.4
28,100,5.6,238.0,232.4
29,44,20.8,423.4,402.59999999999997
30,145,3.6,496.4,492.79999999999995
31,158,0.0,486.2,486.2
32,17,70.6,146.4,75.80000000000001
33,102,0.6,500.0,499.4
35,33,5.6,145.8,140.20000000000002
36,126,0.6,484.2,483.59999999999997
37,81,1.0,459.4,458.4
38,92,3.6,477.6,474.0
39,83,8.4,426.6,418.20000000000005
40,115,1.8,426.8,425.0
41,64,7.4,148.4,141.0
42,96,16.8,481.8,465.0
43,54,2.8,281.4,278.59999999999997
44,32,9.2,156.2,147.0
47,50,4.4,150.8,146.4
48,25,15.0,152.8,137.8
49,107,0.0,503.0,503.0
50,119,0.6,498.2,497.59999999999997
52,151,0.8,234.2,233.39999999999998
53,38,8.4,80.4,72.0
54,69,4.6,390.8,386.2
55,11,0.0,94.0,94.0
56,68,1.4,395.6,394.20000000000005
57,74,2.2,434.6,432.40000000000003
61,74,4.2,292.6,288.40000000000003
63,57,2.8,170.6,167.79999999999998
64,22,0.6,140.4,139.8
65,125,5.4,447.6,442.20000000000005
67,57,0.2,325.4,325.2
68,155,2.6,501.8,499.2
69,44,3.8,214.2,210.39999999999998
70,82,4.2,467.2,463.0
71,137,3.6,488.6,485.0
72,61,0.0,136.0,136.0
73,125,5.6,404.8,399.2
75,56,0.8,283.6,282.8
76,125,0.0,295.8,295.8
78,86,0.2,307.0,306.8
79,38,6.4,150.6,144.2
80,47,1.8,277.2,275.4
81,84,2.4,260.4,258.0
82,156,5.2,425.6,420.40000000000003
84,107,2.2,306.8,304.6
86,41,23.8,150.8,127.00000000000001
87,87,2.6,187.8,185.20000000000002
88,121,1.2,465.0,463.8
89,108,1.6,491.0,489.4
90,47,1.4,106.2,104.8
91,140,3.4,436.4,433.0
92,49,0.6,142.0,141.4
93,52,7.8,187.6,179.79999999999998
94,65,2.6,419.8,417.2
95,32,16.2,338.0,321.8
96,25,12.8,50.0,37.2
99,73,0.0,377.2,377.2
100,65,2.2,290.6,288.40000000000003
102,50,4.0,355.4,351.4
103,143,0.0,405.4,405.4
105,125,9.6,491.6,482.0
106,140,0.0,503.8,503.8
108,139,4.2,441.8,437.6
109,107,0.6,485.8,485.2
110,102,6.4,410.0,403.6
111,103,5.4,469.2,463.8
112,137,0.0,491.8,491.8
113,62,2.8,271.8,269.0
114,97,5.6,289.0,283.4
115,67,6.8,121.6,114.8
116,101,2.0,353.0,351.0
118,96,2.2,262.0,259.8
121,53,2.6,155.8,153.20000000000002
122,127,0.0,402.0,402.0
123,139,0.0,488.8,488.8
124,172,1.2,494.8,493.6
125,53,1.4,178.0,176.6
126,180,2.8,474.8,472.0
128,61,1.4,133.2,131.79999999999998
130,122,2.4,492.4,490.0
131,140,0.0,304.4,304.4
132,34,20.8,208.2,187.39999999999998
134,82,6.8,346.0,339.2
135,132,0.0,489.8,489.8
136,59,23.6,302.0,278.4
138,93,10.2,254.2,244.0
139,83,2.0,197.4,195.4
140,140,7.6,452.2,444.59999999999997
141,147,2.6,465.2,462.59999999999997
142,148,0.0,380.8,380.8
143,66,2.8,198.8,196.0
144,63,3.6,191.0,187.4
146,50,3.8,159.2,155.39999999999998
147,155,1.6,501.4,499.79999999999995
148,94,1.0,271.8,270.8
149,99,2.6,344.4,341.79999999999995
150,118,10.4,433.4,423.0
151,155,2.6,385.8,383.2
152,92,0.0,504.0,504.0
154,111,1.4,496.8,495.40000000000003
155,105,0.0,199.8,199.8
156,69,2.2,202.6,200.4
159,188,3.6,503.4,499.79999999999995
160,48,18.8,287.4,268.59999999999997
161,130,9.6,451.8,442.2
162,150,2.4,493.6,491.20000000000005
163,115,1.8,482.4,480.59999999999997
164,83,0.0,150.8,150.8
165,36,4.4,138.2,133.79999999999998
167,111,13.8,475.4,461.59999999999997
168,72,9.4,433.8,424.40000000000003
169,73,1.0,292.2,291.2
171,133,0.4,426.4,426.0
172,132,3.6,464.6,461.0
175,63,4.2,478.2,474.0
177,37,0.0,138.2,138.2
178,109,11.6,413.6,402.0
179,137,3.4,478.6,475.20000000000005
185,101,2.4,321.4,319.0
186,9,61.0,95.6,34.599999999999994
187,64,0.0,283.6,283.6
188,163,2.2,494.0,491.8
190,61,4.2,165.6,161.4
191,111,2.4,301.6,299.20000000000005
193,113,2.4,410.8,408.40000000000003
194,63,5.8,431.4,425.59999999999997
195,133,2.4,413.8,411.40000000000003
197,114,10.6,387.6,377.0
199,134,1.2,450.4,449.2
200,96,0.4,504.6,504.20000000000005
202,148,10.4,473.2,462.8
203,147,3.2,481.2,478.0
204,47,5.4,173.4,168.0
205,67,1.8,433.6,431.8
206,144,1.2,415.4,414.2
207,143,1.4,496.2,494.8
208,53,3.0,200.6,197.6
209,98,1.8,488.0,486.2
211,57,0.0,467.6,467.6
213,216,4.0,372.0,368.0
215,50,0.4,158.6,158.2
216,182,1.8,480.4,478.59999999999997
217,151,9.4,474.2,464.8
218,86,3.2,284.2,281.0
219,124,10.6,494.6,484.0
222,136,1.4,481.4,480.0
223,8,16.6,147.4,130.8
226,58,3.2,140.4,137.20000000000002
228,236,0.0,479.2,479.2
229,105,3.0,357.0,354.0
231,38,1.2,144.0,142.8
233,125,3.2,491.4,488.2
234,127,2.8,454.4,451.59999999999997
236,103,3.2,389.2,386.0
237,83,0.8,205.6,204.79999999999998
240,95,3.2,319.2,316.0
241,112,0.8,417.8,417.0
242,131,2.8,435.4,432.59999999999997
243,117,6.0,466.4,460.4
244,23,5.6,151.0,145.4
245,28,0.0,269.2,269.2
246,66,2.4,150.4,148.0
247,118,4.0,471.6,467.6
249,116,3.8,399.2,395.4
252,80,3.0,199.2,196.2
253,100,2.8,353.6,350.8
254,125,3.6,488.0,484.4
255,102,0.0,479.0,479.0
257,108,7.2,464.0,456.8
258,128,2.2,436.0,433.8
259,75,1.2,269.2,268.0
260,19,0.4,167.4,167.0
261,144,6.2,457.8,451.6
262,122,2.2,493.6,491.40000000000003
263,47,1.8,168.8,167.0
267,18,3.8,150.6,146.79999999999998
269,116,0.0,479.0,479.0
270,26,0.0,258.2,258.2
271,101,2.4,393.0,390.6
272,84,1.6,247.8,246.20000000000002
273,132,3.0,346.6,343.6
274,132,2.8,421.8,419.0
275,129,1.2,470.2,469.0
276,138,0.0,457.8,457.8
277,37,5.4,205.4,200.0
278,154,0.4,484.4,484.0
279,113,2.0,481.8,479.8
280,49,0.0,148.4,148.4
281,53,5.8,263.4,257.59999999999997
282,115,1.0,491.2,490.2
284,61,10.8,473.2,462.4
287,46,2.8,105.6,102.8
288,141,18.6,491.6,473.0
289,146,0.8,468.4,467.59999999999997
290,102,14.4,487.8,473.40000000000003
291,92,0.0,433.8,433.8
292,47,14.6,454.4,439.79999999999995
293,237,19.2,488.0,468.8
294,175,2.4,482.6,480.20000000000005
295,116,1.6,415.0,413.4
296,25,3.8,135.2,131.39999999999998
297,72,6.4,357.6,351.20000000000005
298,139,0.2,370.6,370.40000000000003
300,72,0.0,301.6,301.6
301,33,8.4,355.6,347.20000000000005
304,92,7.0,399.6,392.6
305,80,1.8,442.4,440.59999999999997
306,119,17.0,491.4,474.4
308,118,0.6,482.6,482.0
310,77,4.6,384.2,379.59999999999997
311,173,0.2,494.0,493.8
312,81,0.0,346.4,346.4
313,61,9.0,475.2,466.2
314,30,0.6,170.0,169.4
316,148,1.0,491.0,490.0
318,24,13.0,279.8,266.8
319,89,0.6,216.4,215.8
321,109,1.2,489.0,487.8
322,97,5.2,478.4,473.2
323,136,3.2,488.0,484.8
324,99,0.0,411.6,411.6
325,23,0.0,284.8,284.8
326,41,0.0,281.4,281.4
327,64,0.0,285.4,285.4
328,7,9.6,115.8,106.2
329,231,2.0,430.4,428.4
332,66,3.6,254.6,251.0
334,41,8.2,353.8,345.6
335,60,2.2,268.2,266.0
336,61,4.0,320.0,316.0
337,13,34.2,132.2,97.99999999999999
338,108,8.8,486.4,477.59999999999997
341,116,5.2,477.4,472.2
342,71,14.4,290.0,275.6
343,28,14.0,347.2,333.2
346,83,15.6,350.4,334.79999999999995
347,27,4.4,360.0,355.6
348,78,4.0,215.8,211.8
349,99,0.8,362.8,362.0
350,146,1.2,481.2,480.0
351,69,3.8,203.6,199.79999999999998
352,119,2.4,485.6,483.20000000000005
353,158,2.4,487.2,484.8
354,82,5.8,218.8,213.0
355,110,8.8,483.6,474.8
356,30,8.2,288.0,279.8
357,12,10.4,128.4,118.0
358,30,0.0,139.8,139.8
360,53,0.0,173.2,173.2
361,33,1.2,292.6,291.40000000000003
362,112,6.8,452.4,445.59999999999997
365,104,3.6,474.4,470.79999999999995
366,60,1.4,149.0,147.6
368,27,11.6,372.0,360.4
370,66,0.6,165.2,164.6
371,42,5.6,212.6,207.0
372,149,0.0,472.8,472.8
374,60,2.6,194.6,192.0
375,70,9.0,360.4,351.4
376,81,1.0,271.4,270.4
378,103,8.0,470.8,462.8
381,69,7.2,349.6,342.40000000000003
382,18,1.4,204.6,203.2
383,49,2.2,345.4,343.2
384,86,2.4,278.4,276.0
385,118,3.6,481.6,478.0
386,48,9.6,232.2,222.6
388,6,10.6,83.6,73.0
389,54,0.0,473.4,473.4
390,46,6.6,135.8,129.20000000000002
391,26,1.6,235.6,234.0
393,14,123.6,190.6,67.0
394,94,2.2,490.2,488.0
395,164,6.6,479.8,473.2
396,54,7.0,267.4,260.4
399,47,7.6,416.8,409.2
401,25,5.2,139.2,134.0
402,24,9.6,463.2,453.59999999999997
404,89,1.4,285.6,284.20000000000005
406,83,3.0,455.2,452.2
408,48,4.0,288.0,284.0
409,120,5.2,476.6,471.40000000000003
410,43,7.4,281.2,273.8
412,139,1.8,493.0,491.2
413,11,1.2,215.4,214.20000000000002
415,101,1.0,488.4,487.4
416,8,6.8,128.2,121.39999999999999
418,128,1.0,490.0,489.0
419,78,7.0,282.8,275.8
421,5,13.2,136.4,123.2
425,90,40.0,361.6,321.6
426,112,20.4,435.0,414.6
427,40,2.2,209.4,207.20000000000002
428,58,4.0,312.6,308.6
429,104,11.2,481.6,470.40000000000003
430,68,40.0,359.6,319.6
431,76,4.2,355.0,350.8
432,41,1.8,93.4,91.60000000000001
433,121,1.4,479.2,477.8
434,150,3.8,430.6,426.8
436,51,2.6,180.6,178.0
437,114,1.2,487.8,486.6
440,59,0.0,285.8,285.8
441,58,1.2,388.6,387.40000000000003
442,134,50.6,485.8,435.2
443,96,15.8,463.6,447.8
445,110,1.4,489.2,487.8
447,55,12.8,299.0,286.2
451,61,13.0,384.8,371.8
452,117,2.4,440.4,438.0
453,66,18.4,318.6,300.20000000000005
454,6,0.0,154.8,154.8
455,66,8.4,468.4,460.0
456,14,9.2,192.8,183.60000000000002
457,19,4.0,167.6,163.6
458,110,3.8,468.8,465.0
461,6,6.2,252.6,246.4
464,19,1.0,279.8,278.8
466,127,13.2,432.4,419.2
467,45,6.6,399.0,392.4
469,68,4.4,289.2,284.8
471,23,10.6,315.2,304.59999999999997
472,105,6.0,376.4,370.4
474,15,0.6,168.0,167.4
475,111,4.4,477.6,473.20000000000005
477,12,64.0,178.4,114.4
479,36,12.8,379.6,366.8
480,100,0.0,348.2,348.2
481,58,12.4,471.8,459.40000000000003
482,23,0.0,127.2,127.2
485,61,7.0,277.2,270.2
488,18,6.8,471.2,464.4
489,52,1.4,330.6,329.20000000000005
490,72,0.0,281.0,281.0
491,62,3.0,148.6,145.6
494,122,4.6,482.8,478.2
495,111,8.0,411.6,403.6
497,5,15.8,110.4,94.60000000000001
498,76,4.0,229.6,225.6
501,33,4.6,242.4,237.8
502,11,0.0,119.4,119.4
504,29,0.0,243.4,243.4
505,53,9.6,485.8,476.2
507,22,46.4,325.2,278.8
509,9,51.4,223.0,171.6
510,57,2.8,450.8,448.0
511,90,37.8,394.0,356.2
512,24,33.6,402.2,368.59999999999997
514,115,21.0,476.0,455.0
516,84,3.8,121.2,117.4
517,70,2.4,169.8,167.4
519,169,2.4,481.4,479.0
522,47,5.8,213.4,207.6
523,131,1.8,457.0,455.2
524,32,2.0,238.6,236.6
525,26,26.6,428.2,401.59999999999997
526,136,11.8,487.6,475.8
528,126,4.2,461.2,457.0
529,48,7.0,162.2,155.2
530,124,8.4,465.0,456.6
531,85,7.4,372.8,365.40000000000003
533,59,0.0,341.6,341.6
534,45,8.2,239.2,231.0
535,92,5.2,382.8,377.6
536,30,6.4,270.2,263.8
537,39,7.0,252.8,245.8
538,92,1.6,435.2,433.59999999999997
540,74,0.2,296.6,296.40000000000003
545,114,3.0,454.2,451.2
546,84,2.4,290.6,288.20000000000005
549,23,41.4,477.4,436.0
550,74,5.8,268.0,262.2
551,116,0.0,383.2,383.2
552,60,2.6,248.8,246.20000000000002
553,104,0.0,371.4,371.4
555,104,0.2,346.2,346.0
556,78,0.6,355.6,355.0
557,83,3.8,481.4,477.59999999999997
558,44,2.2,160.6,158.4
559,18,1.0,205.8,204.8
561,89,6.0,476.2,470.2
562,57,1.2,245.8,244.60000000000002
563,15,0.0,148.6,148.6
564,82,1.2,370.4,369.2
565,72,32.2,368.8,336.6
567,56,8.2,200.8,192.60000000000002
569,116,11.0,459.8,448.8
570,82,3.8,463.0,459.2
571,122,4.2,480.4,476.2
572,8,8.2,133.8,125.60000000000001
574,118,12.4,436.4,424.0
576,32,0.8,276.6,275.8
577,13,7.8,125.2,117.4
578,113,2.8,465.0,462.2
579,16,0.0,170.4,170.4
580,92,2.6,337.2,334.59999999999997
581,113,9.4,474.8,465.40000000000003
582,102,5.2,483.8,478.6
583,62,18.8,339.0,320.2
584,8,16.0,100.4,84.4
585,13,0.0,127.8,127.8
586,9,8.2,113.2,105.0
588,88,0.0,221.2,221.2
589,52,32.6,445.4,412.79999999999995
590,109,5.4,410.4,405.0
592,61,2.6,277.2,274.59999999999997
593,103,3.8,484.0,480.2
595,33,0.0,219.0,219.0
596,134,1.8,464.6,462.8
597,17,2.4,134.2,131.79999999999998
599,113,9.4,402.6,393.20000000000005
600,106,4.2,344.4,340.2
601,45,14.0,207.8,193.8
602,63,11.4,360.8,349.40000000000003
604,94,0.0,378.8,378.8
605,76,3.2,409.4,406.2
606,74,4.6,360.6,356.0
607,60,5.8,398.0,392.2
609,84,8.2,476.6,468.40000000000003
612,112,9.0,451.0,442.0
613,124,5.6,479.0,473.4
614,52,5.4,281.2,275.8
615,109,9.8,465.2,455.4
616,68,13.0,451.6,438.6
617,46,18.0,285.4,267.4
620,112,4.8,452.0,447.2
621,41,0.0,194.4,194.4
622,100,0.8,467.2,466.4
623,41,25.8,240.8,215.0
625,45,18.8,278.4,259.59999999999997
626,116,4.4,479.8,475.40000000000003
628,96,3.0,401.8,398.8
629,50,4.8,160.6,155.79999999999998
630,31,2.8,141.4,138.6
631,19,0.6,139.4,138.8
632,31,1.0,134.4,133.4
633,18,8.4,148.6,140.2
634,23,3.6,120.8,117.2
636,37,11.6,190.8,179.20000000000002
637,116,2.8,409.6,406.8
638,33,3.2,192.2,189.0
640,87,1.8,371.2,369.4
641,46,2.6,184.0,181.4
642,107,3.6,474.2,470.59999999999997
644,80,8.4,200.0,191.6
645,95,6.8,469.4,462.59999999999997
646,66,3.8,344.2,340.4
648,26,0.0,270.6,270.6
